"","ordinal","onset","offset","code","dur","moments","subj","clip"
"004AB_01.csv",0,0,1401,"_",1401,"004AB_01.csv","004AB","004AB_01"
"004AB_02.csv",0,0,1067,"_",1067,"004AB_02.csv","004AB","004AB_02"
"004AB_03.csv.1",0,0,15648,"_",15648,"004AB_03.csv.1","004AB","004AB_03"
"004AB_03.csv.2",1,15649,195939,"s",180290,"004AB_03.csv.2","004AB","004AB_03"
"004AB_03.csv.3",2,195939,214019,"m",18080,"004AB_03.csv.3","004AB","004AB_03"
"004AB_03.csv.4",3,214020,216069,"s",2049,"004AB_03.csv.4","004AB","004AB_03"
"004AB_03.csv.5",4,220887,233208,"m",12321,"004AB_03.csv.5","004AB","004AB_03"
"004AB_03.csv.6",5,233208,242760,"s",9552,"004AB_03.csv.6","004AB","004AB_03"
"004AB_03.csv.7",6,242761,244811,"m",2050,"004AB_03.csv.7","004AB","004AB_03"
"004AB_03.csv.8",7,244811,249484,"s",4673,"004AB_03.csv.8","004AB","004AB_03"
"004AB_03.csv.9",8,249485,261784,"m",12299,"004AB_03.csv.9","004AB","004AB_03"
"004AB_03.csv.10",9,261785,265966,"s",4181,"004AB_03.csv.10","004AB","004AB_03"
"004AB_03.csv.11",10,265967,277077,"m",11110,"004AB_03.csv.11","004AB","004AB_03"
"004AB_03.csv.12",11,277078,281956,"s",4878,"004AB_03.csv.12","004AB","004AB_03"
"004AB_03.csv.13",12,281957,289583,"m",7626,"004AB_03.csv.13","004AB","004AB_03"
"004AB_03.csv.14",13,289583,294482,"s",4899,"004AB_03.csv.14","004AB","004AB_03"
"004AB_03.csv.15",14,294483,308606,"m",14123,"004AB_03.csv.15","004AB","004AB_03"
"004AB_03.csv.16",15,308607,318611,"s",10004,"004AB_03.csv.16","004AB","004AB_03"
"004AB_03.csv.17",16,318612,320928,"m",2316,"004AB_03.csv.17","004AB","004AB_03"
"004AB_03.csv.18",17,320929,324309,"s",3380,"004AB_03.csv.18","004AB","004AB_03"
"004AB_03.csv.19",18,324310,332837,"m",8527,"004AB_03.csv.19","004AB","004AB_03"
"004AB_03.csv.20",19,332838,338454,"s",5616,"004AB_03.csv.20","004AB","004AB_03"
"004AB_03.csv.21",20,338455,343743,"m",5288,"004AB_03.csv.21","004AB","004AB_03"
"004AB_03.csv.22",21,343744,374540,"s",30796,"004AB_03.csv.22","004AB","004AB_03"
"004AB_03.csv.23",22,374541,379112,"_",4571,"004AB_03.csv.23","004AB","004AB_03"
"004AB_04.csv.1",0,0,13293,"s",13293,"004AB_04.csv.1","004AB","004AB_04"
"004AB_04.csv.2",1,13294,38864,"m",25570,"004AB_04.csv.2","004AB","004AB_04"
"004AB_04.csv.3",2,38865,215099,"s",176234,"004AB_04.csv.3","004AB","004AB_04"
"004AB_04.csv.4",3,215100,250338,"m",35238,"004AB_04.csv.4","004AB","004AB_04"
"004AB_04.csv.5",4,250339,289055,"s",38716,"004AB_04.csv.5","004AB","004AB_04"
"004AB_05.csv",0,0,10674,"s",10674,"004AB_05.csv","004AB","004AB_05"
"004AB_06.csv.1",0,0,6044,"s",6044,"004AB_06.csv.1","004AB","004AB_06"
"004AB_06.csv.2",1,6045,11060,"_",5015,"004AB_06.csv.2","004AB","004AB_06"
"004AB_06.csv.3",2,11061,28533,"s",17472,"004AB_06.csv.3","004AB","004AB_06"
"004AB_06.csv.4",3,28534,75554,"_",47020,"004AB_06.csv.4","004AB","004AB_06"
"004AB_06.csv.5",4,75555,93530,"s",17975,"004AB_06.csv.5","004AB","004AB_06"
"004AB_06.csv.6",5,93531,111546,"_",18015,"004AB_06.csv.6","004AB","004AB_06"
"004AB_06.csv.7",6,111547,167903,"m",56356,"004AB_06.csv.7","004AB","004AB_06"
"004AB_06.csv.8",7,167904,404871,"s",236967,"004AB_06.csv.8","004AB","004AB_06"
"004AB_07.csv.1",0,0,4510,"s",4510,"004AB_07.csv.1","004AB","004AB_07"
"004AB_07.csv.2",1,4511,22996,"m",18485,"004AB_07.csv.2","004AB","004AB_07"
"004AB_07.csv.3",2,22997,141228,"s",118231,"004AB_07.csv.3","004AB","004AB_07"
"004AB_07.csv.4",3,141229,159611,"m",18382,"004AB_07.csv.4","004AB","004AB_07"
"004AB_07.csv.5",4,159612,164764,"s",5152,"004AB_07.csv.5","004AB","004AB_07"
"004AB_08.csv.1",0,0,9131,"m",9131,"004AB_08.csv.1","004AB","004AB_08"
"004AB_08.csv.2",1,9132,210743,"s",201611,"004AB_08.csv.2","004AB","004AB_08"
"004AB_09.csv.1",0,0,24534,"m",24534,"004AB_09.csv.1","004AB","004AB_09"
"004AB_09.csv.2",1,24535,35940,"s",11405,"004AB_09.csv.2","004AB","004AB_09"
"004AB_09.csv.3",2,35941,49607,"m",13666,"004AB_09.csv.3","004AB","004AB_09"
"004AB_09.csv.4",3,49608,82916,"s",33308,"004AB_09.csv.4","004AB","004AB_09"
"004AB_09.csv.5",4,82917,106636,"m",23719,"004AB_09.csv.5","004AB","004AB_09"
"004AB_09.csv.6",5,106637,138391,"s",31754,"004AB_09.csv.6","004AB","004AB_09"
"004AB_09.csv.7",6,138392,157924,"m",19532,"004AB_09.csv.7","004AB","004AB_09"
"004AB_10.csv.1",0,0,156085,"s",156085,"004AB_10.csv.1","004AB","004AB_10"
"004AB_10.csv.2",1,156086,171332,"m",15246,"004AB_10.csv.2","004AB","004AB_10"
"004AB_10.csv.3",2,171333,205710,"s",34377,"004AB_10.csv.3","004AB","004AB_10"
"004AB_10.csv.4",3,205711,244574,"m",38863,"004AB_10.csv.4","004AB","004AB_10"
"004AB_10.csv.5",4,244575,279702,"s",35127,"004AB_10.csv.5","004AB","004AB_10"
"004AB_10.csv.6",5,279703,294539,"m",14836,"004AB_10.csv.6","004AB","004AB_10"
"004AB_10.csv.7",6,294540,301831,"s",7291,"004AB_10.csv.7","004AB","004AB_10"
"004AB_10.csv.8",7,301832,317875,"m",16043,"004AB_10.csv.8","004AB","004AB_10"
"004AB_10.csv.9",8,317876,494605,"s",176729,"004AB_10.csv.9","004AB","004AB_10"
"004AB_10.csv.10",9,494606,512834,"m",18228,"004AB_10.csv.10","004AB","004AB_10"
"004AB_10.csv.11",10,512835,553753,"s",40918,"004AB_10.csv.11","004AB","004AB_10"
"004AB_11.csv.1",0,0,15826,"m",15826,"004AB_11.csv.1","004AB","004AB_11"
"004AB_11.csv.2",1,15827,308875,"s",293048,"004AB_11.csv.2","004AB","004AB_11"
"004AB_12.csv.1",0,0,185096,"s",185096,"004AB_12.csv.1","004AB","004AB_12"
"004AB_12.csv.2",1,185097,188731,"_",3634,"004AB_12.csv.2","004AB","004AB_12"
"004AB_12.csv.3",2,188732,229773,"s",41041,"004AB_12.csv.3","004AB","004AB_12"
"004AB_12.csv.4",3,229774,270488,"m",40714,"004AB_12.csv.4","004AB","004AB_12"
"004AB_12.csv.5",4,270489,285814,"s",15325,"004AB_12.csv.5","004AB","004AB_12"
"004AB_12.csv.6",5,285815,291675,"m",5860,"004AB_12.csv.6","004AB","004AB_12"
"004AB_12.csv.7",6,291676,487620,"s",195944,"004AB_12.csv.7","004AB","004AB_12"
"004AB_13.csv",0,0,41674,"s",41674,"004AB_13.csv","004AB","004AB_13"
"004AB_14.csv.1",0,0,330374,"s",330374,"004AB_14.csv.1","004AB","004AB_14"
"004AB_14.csv.2",1,330375,408784,"m",78409,"004AB_14.csv.2","004AB","004AB_14"
"004AB_14.csv.3",2,408785,713882,"s",305097,"004AB_14.csv.3","004AB","004AB_14"
"004AB_14.csv.4",3,713883,784489,"m",70606,"004AB_14.csv.4","004AB","004AB_14"
"004AB_14.csv.5",4,784490,878743,"s",94253,"004AB_14.csv.5","004AB","004AB_14"
"004AB_14.csv.6",5,878744,900547,"m",21803,"004AB_14.csv.6","004AB","004AB_14"
"004AB_14.csv.7",6,900548,1037736,"s",137188,"004AB_14.csv.7","004AB","004AB_14"
"004AB_15.csv",0,0,12846,"s",12846,"004AB_15.csv","004AB","004AB_15"
"004AB_16.csv.1",0,0,39377,"m",39377,"004AB_16.csv.1","004AB","004AB_16"
"004AB_16.csv.2",1,39378,47580,"s",8202,"004AB_16.csv.2","004AB","004AB_16"
"004AB_16.csv.3",2,47581,85399,"m",37818,"004AB_16.csv.3","004AB","004AB_16"
"004AB_16.csv.4",3,85400,107542,"s",22142,"004AB_16.csv.4","004AB","004AB_16"
"004AB_16.csv.5",4,107543,120720,"_",13177,"004AB_16.csv.5","004AB","004AB_16"
"004AB_17.csv.1",0,0,18254,"m",18254,"004AB_17.csv.1","004AB","004AB_17"
"004AB_17.csv.2",1,18255,28862,"_",10607,"004AB_17.csv.2","004AB","004AB_17"
"004AB_17.csv.3",2,28863,87957,"s",59094,"004AB_17.csv.3","004AB","004AB_17"
"004AB_17.csv.4",3,87958,90626,"_",2668,"004AB_17.csv.4","004AB","004AB_17"
"004AB_17.csv.5",4,90627,688120,"s",597493,"004AB_17.csv.5","004AB","004AB_17"
"004AB_18.csv.1",0,0,56266,"s",56266,"004AB_18.csv.1","004AB","004AB_18"
"004AB_18.csv.2",1,56267,69064,"m",12797,"004AB_18.csv.2","004AB","004AB_18"
"004AB_18.csv.3",2,69065,104991,"s",35926,"004AB_18.csv.3","004AB","004AB_18"
"004AB_18.csv.4",3,104992,107335,"m",2343,"004AB_18.csv.4","004AB","004AB_18"
"004AB_18.csv.5",4,107336,124716,"s",17380,"004AB_18.csv.5","004AB","004AB_18"
"004AB_18.csv.6",5,124717,136285,"m",11568,"004AB_18.csv.6","004AB","004AB_18"
"004AB_18.csv.7",6,136286,201101,"s",64815,"004AB_18.csv.7","004AB","004AB_18"
"004AB_18.csv.8",7,201102,247667,"m",46565,"004AB_18.csv.8","004AB","004AB_18"
"004AB_18.csv.9",8,247668,278381,"s",30713,"004AB_18.csv.9","004AB","004AB_18"
"004AB_18.csv.10",9,278382,291257,"m",12875,"004AB_18.csv.10","004AB","004AB_18"
"004AB_19.csv.1",0,0,49769,"m",49769,"004AB_19.csv.1","004AB","004AB_19"
"004AB_19.csv.2",1,49770,62348,"s",12578,"004AB_19.csv.2","004AB","004AB_19"
"004AB_19.csv.3",2,62349,73286,"m",10937,"004AB_19.csv.3","004AB","004AB_19"
"004AB_19.csv.4",3,73287,137717,"s",64430,"004AB_19.csv.4","004AB","004AB_19"
"004AB_19.csv.5",4,137718,157108,"m",19390,"004AB_19.csv.5","004AB","004AB_19"
"004AB_19.csv.6",5,157109,165393,"s",8284,"004AB_19.csv.6","004AB","004AB_19"
"004AB_19.csv.7",6,165394,172072,"m",6678,"004AB_19.csv.7","004AB","004AB_19"
"004AB_19.csv.8",7,172073,172672,"s",599,"004AB_19.csv.8","004AB","004AB_19"
"004AB_20.csv.1",0,0,26570,"s",26570,"004AB_20.csv.1","004AB","004AB_20"
"004AB_20.csv.2",1,26571,31751,"m",5180,"004AB_20.csv.2","004AB","004AB_20"
"004AB_20.csv.3",2,31752,281503,"s",249751,"004AB_20.csv.3","004AB","004AB_20"
"004AB_20.csv.4",3,281504,301388,"m",19884,"004AB_20.csv.4","004AB","004AB_20"
"004AB_20.csv.5",4,301389,327654,"s",26265,"004AB_20.csv.5","004AB","004AB_20"
"004AB_20.csv.6",5,327655,344577,"m",16922,"004AB_20.csv.6","004AB","004AB_20"
"004AB_21.csv.1",0,0,16583,"s",16583,"004AB_21.csv.1","004AB","004AB_21"
"004AB_21.csv.2",1,16584,31110,"m",14526,"004AB_21.csv.2","004AB","004AB_21"
"004AB_21.csv.3",2,31111,125893,"s",94782,"004AB_21.csv.3","004AB","004AB_21"
"004AB_21.csv.4",3,125894,143879,"_",17985,"004AB_21.csv.4","004AB","004AB_21"
"004AB_21.csv.5",4,143880,225293,"s",81413,"004AB_21.csv.5","004AB","004AB_21"
"004AB_21.csv.6",5,225294,241111,"_",15817,"004AB_21.csv.6","004AB","004AB_21"
"004AB_21.csv.7",6,241112,249248,"s",8136,"004AB_21.csv.7","004AB","004AB_21"
"004AB_21.csv.8",7,249249,263737,"_",14488,"004AB_21.csv.8","004AB","004AB_21"
"004AB_21.csv.9",8,263738,289292,"s",25554,"004AB_21.csv.9","004AB","004AB_21"
"004AB_21.csv.10",9,289293,331032,"_",41739,"004AB_21.csv.10","004AB","004AB_21"
"004AB_21.csv.11",10,331033,336573,"s",5540,"004AB_21.csv.11","004AB","004AB_21"
"004AB_21.csv.12",11,336574,373505,"_",36931,"004AB_21.csv.12","004AB","004AB_21"
"004AB_21.csv.13",12,373506,377943,"s",4437,"004AB_21.csv.13","004AB","004AB_21"
"004AB_21.csv.14",13,377944,382917,"_",4973,"004AB_21.csv.14","004AB","004AB_21"
"004AB_21.csv.15",14,382918,390756,"s",7838,"004AB_21.csv.15","004AB","004AB_21"
"004AB_21.csv.16",15,390757,426461,"_",35704,"004AB_21.csv.16","004AB","004AB_21"
"004AB_21.csv.17",16,426462,436568,"s",10106,"004AB_21.csv.17","004AB","004AB_21"
"004AB_21.csv.18",17,436569,489054,"_",52485,"004AB_21.csv.18","004AB","004AB_21"
"004AB_21.csv.19",18,489055,683134,"s",194079,"004AB_21.csv.19","004AB","004AB_21"
"004AB_21.csv.20",19,683135,694982,"m",11847,"004AB_21.csv.20","004AB","004AB_21"
"004AB_21.csv.21",20,694983,703690,"s",8707,"004AB_21.csv.21","004AB","004AB_21"
"004AB_21.csv.22",21,703691,715096,"m",11405,"004AB_21.csv.22","004AB","004AB_21"
"004AB_21.csv.23",22,715097,722947,"s",7850,"004AB_21.csv.23","004AB","004AB_21"
"004AB_21.csv.24",23,722948,724806,"m",1858,"004AB_21.csv.24","004AB","004AB_21"
"004AB_21.csv.25",24,724807,734034,"s",9227,"004AB_21.csv.25","004AB","004AB_21"
"004AB_21.csv.26",25,734035,761319,"m",27284,"004AB_21.csv.26","004AB","004AB_21"
"004AB_21.csv.27",26,761320,832331,"s",71011,"004AB_21.csv.27","004AB","004AB_21"
"004AB_22.csv.1",0,0,16241,"s",16241,"004AB_22.csv.1","004AB","004AB_22"
"004AB_22.csv.2",1,16242,22558,"m",6316,"004AB_22.csv.2","004AB","004AB_22"
"004AB_22.csv.3",2,22559,613205,"s",590646,"004AB_22.csv.3","004AB","004AB_22"
"004AB_22.csv.4",3,613206,641023,"m",27817,"004AB_22.csv.4","004AB","004AB_22"
"004AB_22.csv.5",4,641024,653386,"s",12362,"004AB_22.csv.5","004AB","004AB_22"
"004AB_22.csv.6",5,653387,655001,"m",1614,"004AB_22.csv.6","004AB","004AB_22"
"004AB_22.csv.7",6,655002,700831,"s",45829,"004AB_22.csv.7","004AB","004AB_22"
"004AB_22.csv.8",7,700832,716602,"m",15770,"004AB_22.csv.8","004AB","004AB_22"
"004AB_22.csv.9",8,716603,777954,"s",61351,"004AB_22.csv.9","004AB","004AB_22"
"004AB_22.csv.10",9,777955,782784,"m",4829,"004AB_22.csv.10","004AB","004AB_22"
"004AB_22.csv.11",10,782785,892261,"s",109476,"004AB_22.csv.11","004AB","004AB_22"
"004AB_22.csv.12",11,892262,905342,"m",13080,"004AB_22.csv.12","004AB","004AB_22"
"004AB_22.csv.13",12,905343,1903835,"s",998492,"004AB_22.csv.13","004AB","004AB_22"
"004AB_23.csv",0,0,71638,"s",71638,"004AB_23.csv","004AB","004AB_23"
"004AB_24.csv.1",0,0,597097,"s",597097,"004AB_24.csv.1","004AB","004AB_24"
"004AB_24.csv.2",1,597098,606104,"_",9006,"004AB_24.csv.2","004AB","004AB_24"
"004AB_24.csv.3",2,606105,774106,"s",168001,"004AB_24.csv.3","004AB","004AB_24"
"004AB_25.csv",0,0,163596,"s",163596,"004AB_25.csv","004AB","004AB_25"
"004AB_26.csv.1",0,0,3267,"s",3267,"004AB_26.csv.1","004AB","004AB_26"
"004AB_26.csv.2",1,3268,17533,"m",14265,"004AB_26.csv.2","004AB","004AB_26"
"004AB_26.csv.3",2,17534,52429,"s",34895,"004AB_26.csv.3","004AB","004AB_26"
"004AB_26.csv.4",3,52430,58380,"m",5950,"004AB_26.csv.4","004AB","004AB_26"
"004AB_26.csv.5",4,58381,91885,"s",33504,"004AB_26.csv.5","004AB","004AB_26"
"004AB_26.csv.6",5,91886,102901,"m",11015,"004AB_26.csv.6","004AB","004AB_26"
"004AB_26.csv.7",6,102902,141248,"s",38346,"004AB_26.csv.7","004AB","004AB_26"
"004AB_26.csv.8",7,141249,147088,"m",5839,"004AB_26.csv.8","004AB","004AB_26"
"004AB_26.csv.9",8,147089,154731,"s",7642,"004AB_26.csv.9","004AB","004AB_26"
"004AB_26.csv.10",9,154732,163299,"m",8567,"004AB_26.csv.10","004AB","004AB_26"
"004AB_26.csv.11",10,163300,174431,"s",11131,"004AB_26.csv.11","004AB","004AB_26"
"004AB_26.csv.12",11,174432,182624,"m",8192,"004AB_26.csv.12","004AB","004AB_26"
"004AB_26.csv.13",12,182625,195039,"s",12414,"004AB_26.csv.13","004AB","004AB_26"
"004AB_26.csv.14",13,195040,221727,"m",26687,"004AB_26.csv.14","004AB","004AB_26"
"004AB_26.csv.15",14,221728,236669,"s",14941,"004AB_26.csv.15","004AB","004AB_26"
"004AB_27.csv",0,0,734,"s",734,"004AB_27.csv","004AB","004AB_27"
"004AB_28.csv.1",0,0,342789,"s",342789,"004AB_28.csv.1","004AB","004AB_28"
"004AB_28.csv.2",1,342790,360537,"m",17747,"004AB_28.csv.2","004AB","004AB_28"
"004AB_28.csv.3",2,360538,491139,"s",130601,"004AB_28.csv.3","004AB","004AB_28"
"004AB_28.csv.4",3,491140,509208,"m",18068,"004AB_28.csv.4","004AB","004AB_28"
"004AB_29.csv.1",0,0,36730,"m",36730,"004AB_29.csv.1","004AB","004AB_29"
"004AB_29.csv.2",1,36731,68716,"s",31985,"004AB_29.csv.2","004AB","004AB_29"
"004AB_29.csv.3",2,68717,71868,"m",3151,"004AB_29.csv.3","004AB","004AB_29"
"004AB_29.csv.4",3,71869,670304,"s",598435,"004AB_29.csv.4","004AB","004AB_29"
"004AB_29.csv.5",4,670305,675607,"_",5302,"004AB_29.csv.5","004AB","004AB_29"
"004AB_29.csv.6",5,675608,723224,"s",47616,"004AB_29.csv.6","004AB","004AB_29"
"004AB_29.csv.7",6,723225,728196,"_",4971,"004AB_29.csv.7","004AB","004AB_29"
"004AB_29.csv.8",7,728197,779522,"s",51325,"004AB_29.csv.8","004AB","004AB_29"
"004AB_29.csv.9",8,779523,822533,"m",43010,"004AB_29.csv.9","004AB","004AB_29"
"004AB_29.csv.10",9,822534,853506,"s",30972,"004AB_29.csv.10","004AB","004AB_29"
"004AB_29.csv.11",10,853507,866614,"m",13107,"004AB_29.csv.11","004AB","004AB_29"
"004AB_29.csv.12",11,866615,886301,"s",19686,"004AB_29.csv.12","004AB","004AB_29"
"004AB_29.csv.13",12,886302,935452,"m",49150,"004AB_29.csv.13","004AB","004AB_29"
"004AB_29.csv.14",13,935453,1112376,"s",176923,"004AB_29.csv.14","004AB","004AB_29"
"004AB_29.csv.15",14,1112377,1124356,"_",11979,"004AB_29.csv.15","004AB","004AB_29"
"004AB_29.csv.16",15,1124357,1665351,"s",540994,"004AB_29.csv.16","004AB","004AB_29"
"004AB_29.csv.17",16,1665352,1668922,"m",3570,"004AB_29.csv.17","004AB","004AB_29"
"004AB_29.csv.18",17,1668923,1713223,"s",44300,"004AB_29.csv.18","004AB","004AB_29"
"004AB_29.csv.19",18,1713224,1755664,"m",42440,"004AB_29.csv.19","004AB","004AB_29"
"004AB_29.csv.20",19,1755665,1773104,"s",17439,"004AB_29.csv.20","004AB","004AB_29"
"004AB_29.csv.21",20,1773105,1863603,"m",90498,"004AB_29.csv.21","004AB","004AB_29"
"004AB_29.csv.22",21,1863604,1888649,"s",25045,"004AB_29.csv.22","004AB","004AB_29"
"004AB_29.csv.23",22,1888650,1893628,"m",4978,"004AB_29.csv.23","004AB","004AB_29"
"004AB_29.csv.24",23,1893629,1905737,"s",12108,"004AB_29.csv.24","004AB","004AB_29"
"004AB_30.csv.1",0,0,11151,"s",11151,"004AB_30.csv.1","004AB","004AB_30"
"004AB_30.csv.2",1,11152,13697,"m",2545,"004AB_30.csv.2","004AB","004AB_30"
"004AB_30.csv.3",2,13698,73239,"s",59541,"004AB_30.csv.3","004AB","004AB_30"
"004AB_31.csv.1",0,0,21521,"m",21521,"004AB_31.csv.1","004AB","004AB_31"
"004AB_31.csv.2",1,21522,36037,"_",14515,"004AB_31.csv.2","004AB","004AB_31"
"004AB_31.csv.3",2,36038,52963,"s",16925,"004AB_31.csv.3","004AB","004AB_31"
"004AB_31.csv.4",3,52964,66091,"m",13127,"004AB_31.csv.4","004AB","004AB_31"
"004AB_31.csv.5",4,66092,178086,"s",111994,"004AB_31.csv.5","004AB","004AB_31"
"004AB_31.csv.6",5,178087,231704,"m",53617,"004AB_31.csv.6","004AB","004AB_31"
"004AB_31.csv.7",6,231705,618998,"s",387293,"004AB_31.csv.7","004AB","004AB_31"
"004AB_31.csv.8",7,618999,640065,"m",21066,"004AB_31.csv.8","004AB","004AB_31"
"004AB_31.csv.9",8,640066,664611,"s",24545,"004AB_31.csv.9","004AB","004AB_31"
"004AB_31.csv.10",9,664612,692756,"m",28144,"004AB_31.csv.10","004AB","004AB_31"
"004AB_31.csv.11",10,692757,907475,"s",214718,"004AB_31.csv.11","004AB","004AB_31"
"004AB_31.csv.12",11,907476,945511,"m",38035,"004AB_31.csv.12","004AB","004AB_31"
"004AB_32.csv.1",0,0,220795,"s",220795,"004AB_32.csv.1","004AB","004AB_32"
"004AB_32.csv.2",1,220796,226022,"m",5226,"004AB_32.csv.2","004AB","004AB_32"
"004AB_32.csv.3",2,226023,479647,"s",253624,"004AB_32.csv.3","004AB","004AB_32"
"004AB_32.csv.4",3,479648,487470,"m",7822,"004AB_32.csv.4","004AB","004AB_32"
"004AB_32.csv.5",4,487471,497105,"s",9634,"004AB_32.csv.5","004AB","004AB_32"
"004AB_32.csv.6",5,497106,508841,"m",11735,"004AB_32.csv.6","004AB","004AB_32"
"006AP_01.csv",0,0,85318,"s",85318,"006AP_01.csv","006AP","006AP_01"
"006AP_02.csv.1",0,0,365296,"s",365296,"006AP_02.csv.1","006AP","006AP_02"
"006AP_02.csv.2",1,365297,373421,"m",8124,"006AP_02.csv.2","006AP","006AP_02"
"006AP_02.csv.3",2,373422,385351,"s",11929,"006AP_02.csv.3","006AP","006AP_02"
"006AP_03.csv",0,0,574540,"s",574540,"006AP_03.csv","006AP","006AP_03"
"006AP_04.csv",0,0,228094,"s",228094,"006AP_04.csv","006AP","006AP_04"
"006AP_05.csv.1",0,0,443496,"s",443496,"006AP_05.csv.1","006AP","006AP_05"
"006AP_05.csv.2",1,443497,454976,"m",11479,"006AP_05.csv.2","006AP","006AP_05"
"006AP_05.csv.3",2,454977,484455,"s",29478,"006AP_05.csv.3","006AP","006AP_05"
"006AP_05.csv.4",3,484456,489242,"m",4786,"006AP_05.csv.4","006AP","006AP_05"
"006AP_05.csv.5",4,489243,611678,"s",122435,"006AP_05.csv.5","006AP","006AP_05"
"006AP_05.csv.6",5,611679,615532,"m",3853,"006AP_05.csv.6","006AP","006AP_05"
"006AP_05.csv.7",6,615533,781992,"s",166459,"006AP_05.csv.7","006AP","006AP_05"
"006AP_05.csv.8",7,781993,788500,"m",6507,"006AP_05.csv.8","006AP","006AP_05"
"006AP_05.csv.9",8,788501,797982,"s",9481,"006AP_05.csv.9","006AP","006AP_05"
"006AP_05.csv.10",9,797983,807023,"m",9040,"006AP_05.csv.10","006AP","006AP_05"
"006AP_05.csv.11",10,807024,821024,"s",14000,"006AP_05.csv.11","006AP","006AP_05"
"006AP_05.csv.12",11,821025,852269,"m",31244,"006AP_05.csv.12","006AP","006AP_05"
"006AP_05.csv.13",12,852270,880966,"s",28696,"006AP_05.csv.13","006AP","006AP_05"
"006AP_05.csv.14",13,880967,890068,"m",9101,"006AP_05.csv.14","006AP","006AP_05"
"006AP_05.csv.15",14,890069,933036,"s",42967,"006AP_05.csv.15","006AP","006AP_05"
"006AP_05.csv.16",15,933037,941933,"m",8896,"006AP_05.csv.16","006AP","006AP_05"
"006AP_05.csv.17",16,941934,1050993,"s",109059,"006AP_05.csv.17","006AP","006AP_05"
"006AP_05.csv.18",17,1050994,1060654,"m",9660,"006AP_05.csv.18","006AP","006AP_05"
"006AP_05.csv.19",18,1060655,1070591,"s",9936,"006AP_05.csv.19","006AP","006AP_05"
"006AP_05.csv.20",19,1070592,1123153,"m",52561,"006AP_05.csv.20","006AP","006AP_05"
"006AP_05.csv.21",20,1123154,1339638,"s",216484,"006AP_05.csv.21","006AP","006AP_05"
"006AP_06.csv.1",0,0,1420009,"s",1420009,"006AP_06.csv.1","006AP","006AP_06"
"006AP_06.csv.2",1,1420010,1425619,"m",5609,"006AP_06.csv.2","006AP","006AP_06"
"006AP_06.csv.3",2,1425620,1457205,"s",31585,"006AP_06.csv.3","006AP","006AP_06"
"006AP_06.csv.4",3,1457206,1459143,"m",1937,"006AP_06.csv.4","006AP","006AP_06"
"006AP_06.csv.5",4,1459144,1483759,"s",24615,"006AP_06.csv.5","006AP","006AP_06"
"006AP_06.csv.6",5,1483760,1485595,"m",1835,"006AP_06.csv.6","006AP","006AP_06"
"006AP_06.csv.7",6,1485596,1543429,"s",57833,"006AP_06.csv.7","006AP","006AP_06"
"006AP_06.csv.8",7,1543430,1591607,"m",48177,"006AP_06.csv.8","006AP","006AP_06"
"006AP_06.csv.9",8,1591608,1624889,"s",33281,"006AP_06.csv.9","006AP","006AP_06"
"006AP_07.csv.1",0,0,59227,"s",59227,"006AP_07.csv.1","006AP","006AP_07"
"006AP_07.csv.2",1,59228,63953,"m",4725,"006AP_07.csv.2","006AP","006AP_07"
"006AP_07.csv.3",2,63954,89556,"s",25602,"006AP_07.csv.3","006AP","006AP_07"
"006AP_08.csv.1",0,0,149600,"s",149600,"006AP_08.csv.1","006AP","006AP_08"
"006AP_08.csv.2",1,149601,152761,"m",3160,"006AP_08.csv.2","006AP","006AP_08"
"006AP_08.csv.3",2,152762,187339,"s",34577,"006AP_08.csv.3","006AP","006AP_08"
"006AP_08.csv.4",3,187340,190721,"m",3381,"006AP_08.csv.4","006AP","006AP_08"
"006AP_08.csv.5",4,190722,193960,"s",3238,"006AP_08.csv.5","006AP","006AP_08"
"006AP_09.csv.1",0,0,399636,"s",399636,"006AP_09.csv.1","006AP","006AP_09"
"006AP_09.csv.2",1,399637,401709,"m",2072,"006AP_09.csv.2","006AP","006AP_09"
"006AP_09.csv.3",2,401710,500132,"s",98422,"006AP_09.csv.3","006AP","006AP_09"
"006AP_10.csv",0,0,363663,"s",363663,"006AP_10.csv","006AP","006AP_10"
"006AP_11.csv.1",0,0,327351,"s",327351,"006AP_11.csv.1","006AP","006AP_11"
"006AP_11.csv.2",1,327352,338571,"m",11219,"006AP_11.csv.2","006AP","006AP_11"
"006AP_11.csv.3",2,338572,620720,"s",282148,"006AP_11.csv.3","006AP","006AP_11"
"006AP_12.csv",0,0,429128,"s",429128,"006AP_12.csv","006AP","006AP_12"
"006AP_13.csv.1",0,0,72528,"s",72528,"006AP_13.csv.1","006AP","006AP_13"
"006AP_13.csv.2",1,72529,94709,"m",22180,"006AP_13.csv.2","006AP","006AP_13"
"006AP_13.csv.3",2,94710,119801,"s",25091,"006AP_13.csv.3","006AP","006AP_13"
"006AP_13.csv.4",3,119802,138588,"m",18786,"006AP_13.csv.4","006AP","006AP_13"
"006AP_13.csv.5",4,138589,148665,"s",10076,"006AP_13.csv.5","006AP","006AP_13"
"006AP_13.csv.6",5,148666,161703,"m",13037,"006AP_13.csv.6","006AP","006AP_13"
"006AP_13.csv.7",6,161704,166213,"s",4509,"006AP_13.csv.7","006AP","006AP_13"
"006AP_13.csv.8",7,166214,255880,"m",89666,"006AP_13.csv.8","006AP","006AP_13"
